tf,n_implicated_systems,total_system_edges,total_abs_system_weight,best_system_or_cell_type,best_system_process,best_system_evidence_score,top_systems,process_summary,top_grn_targets,global_effect_score,developmental_delay_score,peak_sensitivity_stage,mutual_information,fate_mi_significant
Bcl11b,8,36,2.496479753404854,cardiac muscle cell,cardiac muscle differentiation,0.42466152500114723,cardiac muscle cell; neural cell; myoblast; myotube,cardiac muscle differentiation; neural regionalization; neural patterning / neuronal differentiation; myogenic commitment and skeletal muscle differentiation; myogenic / mesoderm morphogenesis; metabolic or stress response,"Cntnap2(activator,0.389); Cdh10(activator,0.303); Egfem1(activator,0.165); Cdh8(activator,0.139); Edil3(activator,0.137); Kcnq3(activator,0.132); Gm44593(activator,0.131); C130073E24Rik(activator,0.093)",0.0076353135518729,0.0013845451176166,,0.0565912927210264,True
Ebf2,8,50,3.6648494862019994,myoblast,myogenic commitment and skeletal muscle differentiation,0.4191319978799138,myoblast; muscle precursor cell; erythroid progenitor cell; neural cell,myogenic commitment and skeletal muscle differentiation; Wnt/FGF signaling; neural regionalization; mesoderm-to-muscle precursor specification; definitive erythroid differentiation; neural patterning / neuronal differentiation,"Mecom(activator,0.105); Gm44536(activator,0.100); Otx2(activator,0.093); Six3os1(activator,0.086); Coq8a(repressor,0.080); Dlk1(activator,0.080); Cntn6(activator,0.078); Sv2c(repressor,0.077)",0.0061583998613059,0.0009722698596306,,0.0305167033138769,False
Foxo3,8,41,3.0536232944577915,myoblast,myogenic commitment and skeletal muscle differentiation,0.3653229516772433,myoblast; neural cell; myotube; cardiac muscle cell,myogenic commitment and skeletal muscle differentiation; metabolic or stress response; neural patterning / neuronal differentiation; muscle fiber maturation; cardiac muscle differentiation,"Thsd7a(repressor,0.100); Opcml(activator,0.095); Cpne4(activator,0.092); Cdh20(activator,0.091); Hck(activator,0.091); Coq8a(activator,0.087); Rnf213(activator,0.086); Ehhadh(activator,0.085)",0.0076123396866023,0.0014094278449192,,0.0478752014594719,True
Ebf3,8,46,3.207537736743687,erythroid progenitor cell,definitive erythroid differentiation,0.36478948011508205,erythroid progenitor cell; neural cell; myoblast; cardiac muscle cell,definitive erythroid differentiation; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis; neural patterning / neuronal differentiation; myogenic commitment and skeletal muscle differentiation; cardiac muscle differentiation,"Kcnd2(activator,0.117); Cdh8(activator,0.086); Slc6a5(activator,0.081); Tbx3os1(activator,0.081); Gabrp(activator,0.080); Iqcj(activator,0.078); Prrx1(activator,0.077); St18(activator,0.077)",0.0026569375768303,0.000410626467783,,0.0282783685474151,False
Ebf1,8,48,3.3288907259702665,myoblast,myogenic commitment and skeletal muscle differentiation,0.3636279490960023,myoblast; muscle precursor cell; erythroid progenitor cell; primitive erythroid progenitor,myogenic commitment and skeletal muscle differentiation; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis; mesoderm-to-muscle precursor specification; neural regionalization; definitive erythroid differentiation,"Lhx6(activator,0.082); Gp5(activator,0.080); Abcb1a(activator,0.079); Grem2(activator,0.072); Adgrf5(activator,0.072); 4930578C19Rik(activator,0.070); Nxph2(activator,0.070); Arhgap36(activator,0.068)",0.0096595603972673,0.0012478495482355,,0.0404811780569391,False
Mef2c,8,51,3.7526507116854173,primitive erythroid progenitor,primitive erythroid differentiation,0.32947482544794615,primitive erythroid progenitor; muscle precursor cell; myotube; neural cell,primitive erythroid differentiation; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis; mesoderm-to-muscle precursor specification; neural regionalization; muscle fiber maturation,"Traf3ip3(activator,0.084); Ppl(activator,0.081); Lipc(activator,0.080); Itgal(activator,0.080); Hpn(activator,0.079); Ccdc92b(activator,0.078); Cdkn1a(activator,0.078); Pstpip2(activator,0.078)",0.00662112981081,0.0009509221999906,,0.0137033647939257,False
Nr3c2,8,49,3.378983842208979,hematopoietic stem cell,hematopoietic progenitor maintenance and lineage choice,0.28715876835711873,hematopoietic stem cell; cardiac muscle cell; neural cell; muscle precursor cell,hematopoietic progenitor maintenance and lineage choice; neural regionalization; metabolic or stress response; cardiac muscle differentiation; myogenic / mesoderm morphogenesis; hematopoietic / erythroid regulation,"Adcy8(activator,0.108); Pde4b(activator,0.103); Gm29478(activator,0.093); Cntn1(activator,0.091); Adgrg6(activator,0.091); Chl1(activator,0.089); Gm29521(activator,0.087); Slc1a2(activator,0.087)",0.0050551728345453,0.0007872845162637,,0.0312170358182601,False
Runx2,8,43,3.3067213930189596,erythroid progenitor cell,definitive erythroid differentiation,0.2780119802309647,erythroid progenitor cell; cardiac muscle cell; muscle precursor cell; hematopoietic stem cell,definitive erythroid differentiation; cardiac muscle differentiation; hematopoietic / erythroid regulation; metabolic or stress response; mesoderm-to-muscle precursor specification; myogenic / mesoderm morphogenesis,"Ly6g6f(activator,0.088); Dennd2c(activator,0.087); Dpp10(activator,0.087); Cd200r1(activator,0.086); Pcdh11x(activator,0.084); Scn9a(activator,0.082); Lrfn5(activator,0.082); C1qtnf7(activator,0.082)",0.0014594916719943,0.000288896728307,,0.031046631816653,False
Runx1,8,43,3.0600535273551928,myoblast,myogenic commitment and skeletal muscle differentiation,0.2538178274712786,myoblast; myotube; primitive erythroid progenitor; cardiac muscle cell,myogenic commitment and skeletal muscle differentiation; muscle fiber maturation; myogenic / mesoderm morphogenesis; primitive erythroid differentiation; Wnt/FGF signaling; cardiac muscle differentiation,"Cd86(activator,0.089); Cd55(activator,0.088); Stab2(activator,0.088); Cd200r1(activator,0.087); Atp2a1(activator,0.087); Dlx6os1(activator,0.086); Hnf4aos(activator,0.086); Cntnap5b(activator,0.086)",0.0003011449589394,7.985824049683288e-05,,0.0382428432904773,False
Tal1,8,36,2.6015936024487005,myoblast,myogenic commitment and skeletal muscle differentiation,0.23298872932605974,myoblast; hematopoietic stem cell; myotube; cardiac muscle cell,myogenic commitment and skeletal muscle differentiation; hematopoietic progenitor maintenance and lineage choice; neural regionalization; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis; muscle fiber maturation,"Art4(activator,0.091); Tspan32(activator,0.090); Gfi1b(activator,0.090); Nfe2(activator,0.089); Gata1(activator,0.089); Plek2(activator,0.089); Cd86(activator,0.089); Grap2(activator,0.089)",0.0002098924160236,5.091186540084891e-05,,0.0210760686714743,False
